,Hospital Name,State,District,Contact Details,Total Beds Available,Latitude,Longitude
0,IGM hospital,Maharastra,Kolhapur,9923062657,0,16.69111,74.22486
1,Dr Babasaheb Ambedkar Boys & Girls Hostel Hatkanangale,Maharastra,Kolhapur,8329371915,110,16.76253,74.44519
2,Dr Babsaheb Ambedkar Boys & Girls Hostel Salgoan Road Ajara,Maharastra,Kolhapur,9923930304,40,16.69225,74.18797
3,Dr. Babasaheb Ambedkar Girl Hostel Gadhinglaj,Maharastra,Kolhapur,9307593547,101,16.69111,74.22486
4,Gram Sevak Training Centre Gargoti,Maharastra,Kolhapur,9404386300,100,16.31592,74.14422
5,"Kagal Check Post, Kagal",Maharastra,Kolhapur,8379974608,280,16.70777,74.27051
6,"Alliance Hospital, Ichalkaranji",Maharastra,Kolhapur,9822011615,0,,
7,Payos hospital Jaysingpur,Maharastra,Kolhapur,9960299699,40,,
8,SDH Gadhinglaj,Maharastra,Kolhapur,9822041993,90,16.69111,74.22486
9,Apex Hospital Gadhinglaj,Maharastra,Kolhapur,9449943474,12,16.69111,74.22486
10,ashirwad bal Rugnalay Jaysingpur,Maharastra,Kolhapur,9422589449,37,,
11,birnale memorial hospital jaysingpur,Maharastra,Kolhapur,9422045782,17,16.77899,74.55642
12,Choudhari Hospital jaysingpur,Maharastra,Kolhapur,9850509877,26,,
13,J J magdum multispeciality jaysingpur,Maharastra,Kolhapur,9503285738,12,,
14,kesarkar hospital gadhinglaj,Maharastra,Kolhapur,8888816638,40,,
15,Magdum Hospital Kagal,Maharastra,Kolhapur,9881143030,20,,
16,Mahatma gandhi charitable trust nave pargaon hatkangle,Maharastra,Kolhapur,9822445256,80,,
17,Mane Care hospital Jaysingpur,Maharastra,Kolhapur,9823789303,17,,
18,Rular hospital Pargaon,Maharastra,Kolhapur,9422620620,60,,
19,Rular hospital Radhanagari,Maharastra,Kolhapur,8275605867,60,,
20,shree seva clinic peth vadgaon,Maharastra,Kolhapur,9404420609,15,,
21,Sidhagiri Hospital Kaneri,Maharastra,Kolhapur,9421127917,62,,
22,Agrasen seva covid center ichalkaranji,Maharastra,Kolhapur,9637741865,56,,
23,Alfonsa cc Karnjoshi,Maharastra,Kolhapur,0,140,,
24,Dhudhali Pavalan Hall,Maharastra,Kolhapur,0,80,,
25,dr.covid care center kurndwad,Maharastra,Kolhapur,9850320550,15,,
26,"Kunjvan Udgav, Shirol",Maharastra,Kolhapur,7507045080,173,,
27,Mane hall Fulevadi,Maharastra,Kolhapur,0,30,,
28,Musle highschool Ichalkaranji,Maharastra,Kolhapur,9503791008,2,,
29,Pavilion Hall K bawda Kolhapur,Maharastra,Kolhapur,0,56,,
30,PHC Kanur Khurd Chandgad,Maharastra,Kolhapur,8657096107,40,,
31,"PHC Porle,Phanala",Maharastra,Kolhapur,7972291809,46,,
32,"Raje Vikramsinh Foundation ,kagal",Maharastra,Kolhapur,9168925565,31,,
